1725148800000,58974.00000000,59076.59000000,58900.00000000,58930.00000000,289.12701000,1725152399999,17052521.91356300,31309,152.82196000,9013683.98211000,0
1725152400000,58929.99000000,58957.00000000,58819.78000000,58828.01000000,330.21542000,1725155999999,19444360.25487030,36782,140.60104000,8279022.01886150,0
1725156000000,58828.00000000,58851.65000000,58276.01000000,58540.25000000,1256.77642000,1725159599999,73567865.25778160,111039,593.03188000,34705619.68711860,0
1725159600000,58540.25000000,58672.01000000,58399.01000000,58524.21000000,437.88318000,1725163199999,25647163.39466540,39629,214.08523000,12541951.26172250,0
1725163200000,58524.21000000,58599.98000000,58355.00000000,58442.00000000,359.59086000,1725166799999,21027526.22561770,38833,170.13872000,9950632.64239910,0
1725166800000,58442.01000000,58468.00000000,57777.00000000,57986.00000000,2028.37000000,1725170399999,117704889.01772430,152818,837.53414000,48596448.52659400,0
1725170400000,57986.00000000,58298.00000000,57952.00000000,58201.10000000,470.79448000,1725173999999,27383142.22569230,58583,252.31752000,14674607.17411220,0
1725174000000,58201.11000000,58500.00000000,58131.12000000,58478.64000000,507.40659000,1725177599999,29581289.17845870,58118,293.17259000,17094491.20039650,0
1725177600000,58478.64000000,58504.81000000,58200.51000000,58233.99000000,388.37704000,1725181199999,22654007.14314710,46401,189.56498000,11057566.74000910,0
1725181200000,58234.00000000,58400.00000000,58126.98000000,58205.00000000,479.13526000,1725184799999,27911986.46323550,49136,217.93230000,12699017.32526890,0
1725184800000,58205.00000000,58222.00000000,57896.01000000,57931.00000000,715.76724000,1725188399999,41532331.48024890,65521,283.21750000,16432981.11500860,0
1725188400000,57931.00000000,58250.21000000,57840.00000000,58240.52000000,937.31779000,1725191999999,54391188.74009260,73715,458.40809000,26606631.18344790,0
1725192000000,58240.51000000,58320.15000000,57912.30000000,58020.00000000,632.17288000,1725195599999,36727009.78332070,61829,276.26725000,16049286.26011590,0
1725195600000,58020.01000000,58215.00000000,57710.00000000,58175.01000000,1244.45581000,1725199199999,72160662.70854750,114150,560.81399000,32521703.70087760,0
1725199200000,58175.00000000,58179.00000000,57201.00000000,57879.99000000,2863.15990000,1725202799999,165411352.78672200,232692,1322.44079000,76429063.00377390,0
1725202800000,57879.99000000,58360.38000000,57714.35000000,58217.00000000,1171.60774000,1725206399999,68026318.74419580,135102,624.66918000,36275201.71181540,0
1725206400000,58217.00000000,58350.00000000,58090.01000000,58132.06000000,522.62561000,1725209999999,30421782.90933720,78522,230.11685000,13395848.54201030,0
1725210000000,58132.07000000,58201.00000000,57864.30000000,58127.98000000,571.34425000,1725213599999,33146809.43236240,78876,230.97818000,13401576.84057530,0
1725213600000,58127.98000000,58788.93000000,58122.00000000,58541.10000000,942.52521000,1725217199999,55123702.57754310,123823,481.81933000,28173919.99200350,0
1725217200000,58541.11000000,58775.00000000,58292.00000000,58514.00000000,632.24922000,1725220799999,36998608.97598510,85097,314.91791000,18432797.86893150,0
1725220800000,58514.01000000,58656.77000000,58381.10000000,58431.10000000,334.87245000,1725224399999,19601474.27053530,55998,142.74325000,8355938.93397680,0
1725224400000,58431.10000000,58431.10000000,58093.57000000,58351.11000000,337.48050000,1725227999999,19660998.12992110,48113,155.40750000,9055113.07439510,0
1725228000000,58351.11000000,58414.00000000,57232.00000000,57309.01000000,1949.02986000,1725231599999,112265727.16594310,225728,844.03283000,48592850.46747230,0
1725231600000,57309.00000000,57598.00000000,57205.00000000,57301.86000000,1302.87269000,1725235199999,74734128.61154780,151366,664.47230000,38116434.64555090,0
1725235200000,57301.77000000,57650.00000000,57128.00000000,57467.24000000,1254.37293000,1725238799999,72000489.42664580,135645,579.10912000,33243254.65355820,0
1725238800000,57467.25000000,57578.99000000,57242.00000000,57423.23000000,1069.88828000,1725242399999,61407417.91859040,97829,630.39074000,36178956.15784620,0
1725242400000,57423.23000000,57721.00000000,57294.00000000,57509.01000000,1338.60119000,1725245999999,76998537.28028680,82602,690.19183000,39703874.83457910,0
