Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,candle,extended,short,0.11614129195384672,0.711864406779661,0.01557285873192436,0.0010994408717589035,0.006099217173672506,0.5833333333333334,0.04332333083270818,4.9656528424410694e-05
GRU,candle,extended,short,-0.0947455986571518,0.6,0.012818131153631803,-0.0006741015823863181,-0.015750669258460588,0.5772727272727273,0.07161654135338345,-6.728181728659914e-05
GRU,ohlc,extended,short,-0.05610213714542205,0.6125827814569537,0.03436745309307078,-0.00021901496937763251,-0.027526689530503717,0.5643203883495146,0.08740601503759399,-0.00013569960302037997
LightGBM,candle,extended,short,-0.07802397588210269,0.6005154639175257,0.0431961438635521,-0.0004985961858928918,-0.013943374235773976,0.5414266725742135,0.22918229557389347,-6.629362125994296e-05
Logistic Regression,ohlc,extended,short,-0.023421366508944174,0.5737775854608395,0.24582869855394884,-0.00011760872678178236,-0.01799276527888373,0.5310838445807771,0.48705926481620404,-0.00010740680051733289
LightGBM,ohlc,extended,short,-0.037593370185500116,0.5421545667447307,0.08583611420096403,-0.00017124243943919477,-0.02266511397073416,0.5288816058992216,0.24212303075768943,-0.00013315633776447196
XGBoost,ohlc,extended,short,-0.04614997408098803,0.5450145208131656,0.10437523173896923,-0.0003027516671061237,-0.024183001700764387,0.5285714285714286,0.24287321830457614,-0.00014162134577783405
RSI,rule,rule,short,-0.019845096609662435,0.5420277296360485,0.46419294990723564,-0.0001405154684960283,-0.022682683822577356,0.5228869895536562,0.5167042042042042,-0.00017538337013250598
Logistic Regression,candle,raw,short,-0.04621734120340937,0.5077720207253886,0.018168335187245088,-0.00047453613012629273,0.022725092550461116,0.5215453194650818,0.06582895723930983,0.00013449432418025813
XGBoost,candle,extended,short,-0.05063884450668233,0.5351617440225035,0.1410826844642195,-0.0003780480772052787,-0.04204062445546861,0.5031918888471648,0.25131282820705175,-0.00033012698339576307
Logistic Regression,ohlc,raw,short,-0.07781571841106195,0.5357142857142857,0.04171301446051168,-0.00019436898017371337,-0.016000865775401357,0.5002936857562408,0.6389722430607652,-9.168293477494306e-05
GRU,candle,raw,short,0.02261740517175581,0.5305522914218567,0.16775032509752927,8.920693426854856e-05,-0.010057556249063924,0.49933598937583,0.706766917293233,-5.115507291950128e-05
LightGBM,candle,raw,short,-0.04125573918280741,0.5124250214224507,0.22172784575454207,-0.00023203825872301304,-0.02096294973010735,0.49908223201174745,0.509939984996249,-0.00015130531656549527
LightGBM,ohlc,raw,short,-0.048823660026869754,0.539568345323741,0.013904338153503892,-0.000185489176609473,-0.05184655165397671,0.49727767695099817,0.05138784696174044,-0.0003011221447148972
GRU,ohlc,raw,short,-0.01414974019944236,0.5264957264957265,0.11443433029908973,-4.746350303512432e-05,-0.00922549445782946,0.4937185929648241,0.5171052631578947,-4.093787412285562e-05
XGBoost,ohlc,raw,short,-0.04421255921698542,0.5025510204081632,0.03652206154987023,-0.00023115527738651583,-0.026609780869148402,0.49349397590361443,0.19204801200300076,-0.00016740777974313725
XGBoost,candle,raw,short,-0.047478768170659255,0.5121809744779582,0.16370040786058584,-0.0002808977313711261,-0.041922498858744196,0.49012387010378305,0.2745686421605401,-0.00037928361906820626
SMA,rule,rule,short,0.06459631852696684,0.5581395348837209,0.02680067001675042,0.0006063900207339011,-0.07935134154784945,0.452755905511811,0.021657250470809793,-0.0008593401295687269
