Asset,Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
BTC,Logistic Regression,ohlc,extended,long,0.03185055180236081,0.6422018348623854,0.012603528988116673,0.000260472071740045,0.2603944482483775,0.7,0.007471980074719801,0.0020323455422853235
BTC,GRU,ohlc,extended,long,0.17655455224946973,0.6458333333333334,0.011187297004691447,0.0006465634765205429,0.24402509661124233,0.6530612244897959,0.00570409982174688,0.0014329037000551813
BTC,LightGBM,candle,extended,long,0.32455368657612255,0.717948717948718,0.010082823190493338,0.0013565105264284226,0.260703747465242,0.6518518518518519,0.015655577299412915,0.0017873143800284856
BTC,GRU,candle,extended,long,0.05840796247742067,0.6684782608695652,0.022194153735113676,0.0005200716558522264,0.1332989661783601,0.643979057591623,0.021925133689839574,0.001368852197450246
BTC,Logistic Regression,candle,extended,long,0.22134920274985115,0.7034482758620689,0.018365142239827152,0.0011307265426541188,0.14600950911035113,0.616,0.0273972602739726,0.0012504316913984352
BTC,Logistic Regression,ohlc,raw,long,-0.03035841634736448,0.5260115606936416,0.016384587684551675,-0.0002891469177556316,0.112483146631932,0.6115702479338843,0.013164917274506315,0.001150625689805895
BTC,LightGBM,ohlc,extended,long,0.08988118619996058,0.6697247706422018,0.01314368023046453,0.0006345209639550366,0.10143438614082509,0.5955882352941176,0.014410247286959615,0.0006817077263232127
BTC,RSI,rule,rule,long,-0.0017430268011831805,0.5550580093629147,0.4912628355251306,3.2782180587411838e-06,0.05245804932082886,0.5557103064066853,0.4261302954788181,0.0002065835343981282
BTC,XGBoost,ohlc,extended,long,0.04029831196799384,0.5528146742567995,0.15736406193734245,0.00021768900933957937,0.0724227433945358,0.5485537190082644,0.09446717665895749,0.0003950982427215118
BTC,XGBoost,candle,extended,long,0.013696063738925183,0.5242814667988107,0.2857400072020166,8.656589361106531e-05,0.04157503956375579,0.5393053016453382,0.2624088240526597,0.00020034505975537135
BTC,Logistic Regression,candle,raw,long,0.09057051472750895,0.5357142857142857,0.01890529348217501,0.000599983214682948,0.08462145156521728,0.5361111111111111,0.06867105497242483,0.0006524551896306982
BTC,XGBoost,candle,raw,long,0.027360542493342754,0.5171009771986971,0.11433201296362981,0.0001640620612873491,0.07504295540564632,0.5350210970464135,0.11279131827077032,0.0003730203327582431
BTC,SMA,rule,rule,long,0.08037571102621016,0.5504587155963303,0.021715526601520086,0.0007412386567399249,0.019816859478525486,0.5327868852459017,0.011619592420450483,0.0001679670632115506
BTC,GRU,ohlc,raw,long,0.03460417018092844,0.5285423037716616,0.18711656441717792,0.00023439344065789004,0.0756214180294312,0.5307557117750439,0.053832442067736186,0.0005649301184401955
