Asset,Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
SOL,GRU,ohlc,raw,short,0.0015608401961946,0.5105740181268882,0.1270437887615109,1.1623051162780842e-05,-0.0002244821059468,0.4850244498777506,0.2978603603603603,-2.0929508856102057e-06
SOL,XGBoost,candle,extended,short,0.0434153233443903,0.5178041543026706,0.0654415900993812,0.0004572029840721,-0.0147087164472041,0.4848484848484848,0.0958442530887308,-0.0001304382358554
SOL,XGBoost,ohlc,raw,short,0.058725400006265,0.5245641838351822,0.0620663791486967,0.0006310730326919,-0.0034798891931353,0.4829931972789115,0.1594908274054661,-3.0169280630130735e-05
SOL,LightGBM,candle,raw,short,0.0529537975526853,0.5184590690208668,0.060566285392837,0.0005306451092277,-0.0013238311426736,0.4785631517960602,0.154623736428304,-1.3223836368655553e-05
XRP,GRU,candle,extended,short,-0.0453441714862292,0.595166163141994,0.0374240121580547,-0.0008181658225194,-0.0249240716282393,0.5418894830659536,0.1693278871147419,-0.0002942553330858
XRP,Logistic Regression,ohlc,extended,short,-0.0393662301742675,0.6560509554140127,0.0195223654283548,-0.0008604812632437,0.0154086296233518,0.5415512465373962,0.2172624560103722,0.0001554786467035
XRP,Logistic Regression,candle,extended,short,-0.0543063827827291,0.6325301204819277,0.019901440485216,-0.0011648443831525,0.0072681848945415,0.536500174641984,0.2844971290979811,7.476659780530443e-05
XRP,XGBoost,candle,extended,short,-0.0136968244022299,0.5256849315068494,0.0581880212282031,-0.0001790505310408,0.0127317412484959,0.5231851614966422,0.3030190776069642,0.0001195594783972
XRP,RSI,rule,rule,short,-0.0021481257260119,0.5265858208955224,0.4284629981024668,-1.9502851766339783e-05,-0.0204640787551853,0.5174328225627359,0.4322018178445557,-0.0002151740376099
XRP,GRU,ohlc,extended,short,0.0155571209037422,0.586046511627907,0.0957446808510638,0.0001853947315574,0.0028169749139594,0.5160632330443651,0.5636836242109172,2.7575804590052447e-05
XRP,XGBoost,ohlc,extended,short,-0.0239243323671185,0.532293986636971,0.0452994692949203,-0.000350930589086,0.0067613390072848,0.5092592592592593,0.264863863678459,5.880688846939506e-05
XRP,Logistic Regression,ohlc,raw,short,-0.0743811910810257,0.532967032967033,0.018385140257771,-0.0017754124794268,7.082711966453885e-05,0.5047214353163362,0.7919985182441193,6.632620387606034e-07
XRP,LightGBM,ohlc,extended,short,-0.0345665280811935,0.5578947368421052,0.0100454890068233,-0.000868545222713,-0.0535411860885557,0.5006337135614702,0.0731616966104834,-0.0005996889138028
XRP,XGBoost,candle,raw,short,-0.0332741002073666,0.5074380165289256,0.0581880212282031,-0.0004386393719189,-0.008094514417522,0.4977544910179641,0.1231709575847379,-7.551602930005495e-05
XRP,Logistic Regression,candle,raw,short,-0.0243003263445658,0.4863685932388222,0.0845337376800606,-0.0003097590880846,-0.0126989134332091,0.4947336743906109,0.9135025004630488,-0.0001312044939267
XRP,LightGBM,ohlc,raw,short,-0.0620153894623555,0.574468085106383,0.0102350265352539,-0.0014767092830726,0.0004580286482396,0.4935591603053435,0.3832191146508613,5.128914705859598e-06
XRP,LightGBM,candle,raw,short,0.0199531992850786,0.529891304347826,0.0369598180439727,0.0002217580854054,-0.0156154138164592,0.4915010083549409,0.3159844415632524,-0.0001446006336446
XRP,LightGBM,candle,extended,short,0.0718438196478892,0.5666666666666667,0.0128885519332827,0.0007740358168177,-0.0315901599845281,0.4892086330935252,0.025189849972217,-0.000431799299675
XRP,XGBoost,ohlc,raw,short,-0.0511281538774837,0.5562700964630225,0.0327899924184988,-0.0009139941548494,-0.0147194532846478,0.4850094876660341,0.2367105019448045,-0.0001972452686505
XRP,SMA,rule,rule,short,0.0098083541564119,0.4934497816593886,0.0215115172282505,0.0001695368491531,-0.0926033719292542,0.4686774941995359,0.037609383727425,-0.00185881269647
