Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,candle,extended,short,-0.02778490125541438,0.6416184971098265,0.020739910313901346,-0.0001446289085513851,0.06351763833370702,0.5828402366863905,0.03661710037174721,0.00034006606159235045
Logistic Regression,candle,extended,short,0.012067932894787105,0.6153846153846154,0.049217002237136466,8.83062097937526e-05,0.017439998543323267,0.5609195402298851,0.1357315038012238,7.408047529500155e-05
Logistic Regression,ohlc,extended,short,-0.02463680511613414,0.64375,0.038404175988068605,-0.0001091746226537377,-0.025688126603020837,0.5483333333333333,0.061005006489894306,-9.97268143063555e-05
LightGBM,candle,extended,short,0.046326183018385786,0.5916030534351145,0.02889634601043997,0.00030716596625713667,0.015848657608351295,0.5474006116207951,0.06638234748748377,7.07630504175865e-05
LightGBM,ohlc,extended,short,-0.060394237906109184,0.5755813953488372,0.018456375838926176,-0.00033339967789886395,0.007114134292554852,0.5328798185941043,0.04357500463563879,4.34720544240462e-05
GRU,ohlc,extended,short,-0.03328008356355143,0.6143790849673203,0.017563527653213753,-0.0001615990367266178,-0.006742156934456274,0.5303629177146963,0.27434944237918213,-1.9450538869619362e-05
GRU,candle,raw,short,0.19764109483681236,0.5943396226415094,0.011771300448430493,0.0011044246670403955,0.008110549549214445,0.5255394700901393,0.3576208178438662,3.655391223150459e-05
XGBoost,candle,extended,short,-0.02327950160985192,0.5150136487716106,0.10551826994780016,-0.00013093397344469731,-0.031990179805849055,0.5196775723091512,0.20322640459855368,-0.00020079529453522393
RSI,rule,rule,short,-0.023799884137366844,0.5304538216560509,0.4971087483678418,-0.00017154315576388456,-0.01396422711190465,0.5195596618832318,0.4905345211581292,-6.898261878769346e-05
Logistic Regression,candle,raw,short,0.029159296236499318,0.5172413793103449,0.016778523489932886,0.00022523747002851165,-0.0009396776080451872,0.514480761274307,0.46115334693120713,2.8781714702295145e-06
Logistic Regression,ohlc,raw,short,-0.02325649062123608,0.534185303514377,0.1558538404175988,-0.00012288890737730793,-0.008101277609998006,0.5030667007411194,0.7300203968106805,-3.06073013653652e-05
GRU,ohlc,raw,short,-0.023397993225654383,0.5008581235697941,0.3271674140508221,-0.00013428474162708494,-0.09662698160871937,0.5,0.008364312267657992,-0.00029213734055462534
XGBoost,ohlc,extended,short,0.0012953883073837946,0.5286168521462639,0.12397464578672632,2.3617237321011958e-05,-0.04990717304486221,0.4975669099756691,0.2275171518635268,-0.00029414300949543517
XGBoost,ohlc,raw,short,-0.004500102256076299,0.5214446952595937,0.12919463087248323,-1.0083979066024297e-05,-0.01889575031496072,0.4968394437420986,0.3643612089745967,-9.488123626284408e-05
LightGBM,candle,raw,short,-0.03716093567423468,0.5189664650907092,0.17598806860551827,-0.00023249717095756578,-0.03150506088343157,0.4962017623822546,0.3027999258297793,-0.00021567872004429192
LightGBM,ohlc,raw,short,0.09070646760049672,0.5671641791044776,0.028337061894108874,0.0005149971225616212,-0.03874515180672683,0.4940239043824701,0.11496384201743,-0.00022451684233296877
XGBoost,candle,raw,short,-0.03456689302290135,0.5173333333333333,0.14466815809097688,-0.00019086573459060479,-0.038864273337319184,0.4937174379405455,0.298720563693677,-0.0002736158366142977
SMA,rule,rule,short,-0.002730790972072419,0.4970745357415416,0.3695158850226929,-1.6626947196755113e-07,-0.013333141000153119,0.4923226907141116,0.3798420458819105,-7.04568150160213e-05
