asset,symbol,year,month,status,path
BTC,BTCUSDT,2023,9,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-09.csv
BTC,BTCUSDT,2023,10,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-10.csv
BTC,BTCUSDT,2023,11,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-11.csv
BTC,BTCUSDT,2023,12,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-12.csv
BTC,BTCUSDT,2024,1,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-01.csv
BTC,BTCUSDT,2024,2,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-02.csv
BTC,BTCUSDT,2024,3,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-03.csv
BTC,BTCUSDT,2024,4,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-04.csv
BTC,BTCUSDT,2024,5,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-05.csv
BTC,BTCUSDT,2024,6,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-06.csv
BTC,BTCUSDT,2024,7,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-07.csv
BTC,BTCUSDT,2024,8,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-08.csv
BTC,BTCUSDT,2024,9,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-09.csv
BTC,BTCUSDT,2024,10,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-10.csv
BTC,BTCUSDT,2024,11,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-11.csv
BTC,BTCUSDT,2024,12,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2024-12.csv
ETH,ETHUSDT,2020,1,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-01.csv
ETH,ETHUSDT,2020,2,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-02.csv
ETH,ETHUSDT,2020,3,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-03.csv
ETH,ETHUSDT,2020,4,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-04.csv
ETH,ETHUSDT,2020,5,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-05.csv
ETH,ETHUSDT,2020,6,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-06.csv
ETH,ETHUSDT,2020,7,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-07.csv
